Category,Dataset,Split,Photos,TXT files
apple,Apple--1,test,70,70
apple,Apple--1,train,487,487
apple,Apple--1,valid,139,139
apple,apple-1,test,34,34
apple,apple-1,train,237,237
apple,apple-1,valid,68,68
apple,apple——alll-2,test,8,8
apple,apple——alll-2,train,108,108
apple,apple——alll-2,valid,22,22
banana,banana-1,test,182,182
banana,banana-1,train,1241,1241
banana,banana-1,valid,355,355
bread,bread-1,train,98,98
bread,bread-6,train,100,100
carrot,carrot-1,train,621,621
carrot,Carrot-2,train,200,200
carrot,carrot-3,train,200,200
egg,egg-1,test,385,385
egg,egg-1,train,2695,2695
egg,egg-1,valid,770,770
garlic,Garlic-1,test,20,20
garlic,Garlic-1,train,710,710
garlic,Garlic-1,valid,41,41
garlic,garlic-2,test,17,17
garlic,garlic-2,train,600,600
garlic,garlic-2,valid,34,34
garlic,garlic-chicken-1,test,12,12
garlic,garlic-chicken-1,train,251,251
garlic,garlic-chicken-1,valid,24,24
garlic,Garlic-Class-Dataset-4,test,45,45
garlic,Garlic-Class-Dataset-4,train,630,630
garlic,Garlic-Class-Dataset-4,valid,45,45
milk,almond-breeze-milk-1,test,25,25
milk,almond-breeze-milk-1,train,475,475
milk,milk-1,test,24,24
milk,milk-1,train,507,507
milk,milk-1,valid,40,40
milk,Milk-4,test,54,54
milk,Milk-4,train,742,742
milk,Milk-4,valid,220,220
onion,HÀNH_TÂY--1,test,450,450
onion,HÀNH_TÂY--1,train,1339,1339
onion,HÀNH_TÂY--1,valid,450,450
potato,Potato-1,test,43,43
potato,Potato-1,train,832,832
potato,Potato-1,valid,74,74
potato,potato-11,train,313,313
potato,potatos-2,train,663,663
potato,potatos-2,valid,92,92
rice,rice-1,test,82,82
rice,rice-1,train,989,989
rice,rice-1,valid,164,164
tomato,Tomato-1,test,53,53
tomato,Tomato-1,train,1848,1848
tomato,Tomato-1,valid,106,106
tomato,tomato-10,test,16,16
tomato,tomato-10,train,618,618
tomato,tomato-10,valid,53,53
tomato,tomato-11,train,500,500
tomato,tomato-2,train,86,86
tomato,tomato-2,valid,37,37
